READING_DATETIME,GENERAL_SUPPLY_KWH
2012-10-09,104305.93199999994
2012-10-10,102617.71899999997
2012-10-11,110308.75799999996
2012-10-12,136152.06800000023
2012-10-13,120159.67500000012
2012-10-14,117388.54399999931
2012-10-15,106330.00900000022
2012-10-16,107887.67399999958
2012-10-17,103311.32299999923
2012-10-18,101463.01599999967
2012-10-19,103795.03300000039
2012-10-20,119142.6580000007
2012-10-21,110853.16900000037
2012-10-22,110467.95199999995
2012-10-23,106797.54500000083
2012-10-24,103909.10500000017
2012-10-25,109546.94599999982
2012-10-26,103436.57200000028
2012-10-27,105124.38399999982
2012-10-28,110431.94899999994
2012-10-29,105203.97999999982
2012-10-30,103023.03300000001
2012-10-31,105327.04900000007
2012-11-01,118577.44400000066
2012-11-02,100757.24900000007
2012-11-03,106630.98700000043
2012-11-04,110965.31200000067
2012-11-05,114260.09700000017
2012-11-06,121589.54099999974
2012-11-07,115001.80100000052
2012-11-08,111642.67899999963
2012-11-09,109673.92300000002
2012-11-10,110920.06999999973
2012-11-11,108346.57700000014
2012-11-12,104086.7959999998
2012-11-13,104739.77600000045
2012-11-14,105691.10100000013
2012-11-15,106458.77099999983
2012-11-16,109084.16999999985
2012-11-17,107912.32900000006
2012-11-18,110911.72900000052
2012-11-19,105843.85400000005
2012-11-20,104090.69499999986
2012-11-21,103280.10399999986
2012-11-22,104074.09399999992
2012-11-23,101587.79800000005
2012-11-24,110082.9189999997
2012-11-25,146531.76299999966
2012-11-26,131944.67300000004
2012-11-27,119843.8319999998
2012-11-28,107723.01299999988
2012-11-29,122166.74900000029
2012-11-30,173079.7769999999
2012-12-01,184442.989
2012-12-02,135120.235
2012-12-03,111520.64
2012-12-04,111246.7290000001
2012-12-05,103090.29099999988
2012-12-06,100640.33999999965
2012-12-07,101172.30300000016
2012-12-08,123507.98000000014
2012-12-09,125762.66600000032
2012-12-10,109329.47900000005
2012-12-11,106897.60499999972
2012-12-12,106026.11900000025
2012-12-13,108892.50499999964
2012-12-14,119614.67199999953
2012-12-15,123567.23699999996
2012-12-16,160182.84300000052
2012-12-17,112368.8070000002
2012-12-18,120045.63500000002
2012-12-19,133879.72400000045
2012-12-20,140108.4160000004
2012-12-21,111889.91099999988
2012-12-22,128691.54000000033
2012-12-23,165043.00999999995
2012-12-24,186285.1430000002
2012-12-25,125525.4660000002
2012-12-26,107224.62499999999
2012-12-27,105388.47500000049
2012-12-28,118371.77899999985
2012-12-29,110234.77499999982
2012-12-30,112681.68899999987
2012-12-31,137831.11199999996
2013-01-01,173401.8229999998
2013-01-02,122382.55200000039
2013-01-03,113849.3800000001
2013-01-04,128904.93000000025
2013-01-05,158642.73200000025
2013-01-06,154172.72399999958
2013-01-07,147236.10100000032
2013-01-08,230323.32100000017
2013-01-09,149328.95900000073
2013-01-10,115275.93500000022
2013-01-11,178053.10400000002
2013-01-12,205902.28599999956
2013-01-13,139217.2040000003
2013-01-14,111780.58200000032
2013-01-15,112010.38400000047
2013-01-16,135549.41000000015
2013-01-17,168925.59100000132
2013-01-18,247930.015
2013-01-19,132242.55400000018
2013-01-20,124257.14299999995
2013-01-21,127298.1009999997
2013-01-22,150752.33299999966
2013-01-23,124041.85200000036
2013-01-24,132470.87100000057
2013-01-25,162500.21200000012
2013-01-26,170690.82399999985
2013-01-27,138945.49399999902
2013-01-28,139896.39199999953
2013-01-29,129505.40599999958
2013-01-30,125581.32999999967
2013-01-31,154634.27099999998
2013-02-01,131982.4420000002
